Quadrat_ID,Mining_type,Spatial_Zone,Season,B02_median,B02_std,B03_median,B03_std,B04_median,B04_std,B05_median,B05_std,B06_median,B06_std,B07_median,B07_std,B08_median,B08_std,B8A_median,B8A_std,B11_median,B11_std,B12_median,B12_std
UG-Q3,Underground,Zone_B_50m,Summer,0.06054999999999999,0.0038890872965260076,0.08224999999999999,0.001484924240491758,0.0857,0.0012727922061357827,0.1099,0.007495331880577403,0.13895000000000002,0.02156675682618969,0.15105000000000002,0.02269812767608816,0.1714,0.02489015869776648,0.1632,0.024324473272817237,0.17285,0.01534421715174808,0.12615,0.01364716087690036
UG-Q3,Underground,Zone_B_50m,Winter,0.052099999999999994,0.016546298679765207,0.07045,0.019445436482630054,0.0707,0.018809040379562166,0.10595,0.019586857838867367,0.13874999999999998,0.020435385976291222,0.155,0.018809040379562172,0.1633,0.02687005768508879,0.16105,0.016051323932934628,0.13495000000000001,0.008980256121069174,0.09015000000000001,0.006151828996322968
UG-Q3,Underground,Zone_C_50m,Monsoon,0.0646,0.0035355339059327407,0.09190000000000001,0.007778174593052025,0.09055,0.019586857838867367,0.12440000000000001,0.00721248916810279,0.17935,0.024112341238461257,0.2054,0.03747665940288701,0.21515,0.0426385389055488,0.2182,0.030829855659733462,0.1822,0.030971277015970786,0.12835000000000002,0.02906208870676711
UG-Q3,Underground,Zone_C_50m,Summer,0.0628,0.0028284271247461853,0.08465,0.0012020815280171357,0.09215000000000001,0.0036062445840513925,0.11565,0.008555992052357225,0.1411,0.018950461735799465,0.1527,0.02107178207935911,0.16044999999999998,0.020152543263816613,0.16805,0.023829498525986658,0.19165,0.020293964620053905,0.1424,0.01866761902332484
UG-Q3,Underground,Zone_C_50m,Winter,0.060200000000000004,0.015132085117392119,0.08295,0.01831406563273157,0.0903,0.0164048773235279,0.1212,0.016122034611053288,0.15455,0.015627059864222706,0.1704,0.016970562748477126,0.1773,0.0264457936163769,0.18025000000000002,0.01732411613907042,0.16745,0.008838834764831823,0.12175,0.004454772721475249
UG-Q3,Underground,Zone_D_100m,Monsoon,0.07075000000000001,0.003747665940288716,0.10005,0.008131727983645304,0.10405,0.02085965004500315,0.14135,0.013505739520663062,0.2055,0.023900209204105304,0.2345,0.038466608896548175,0.2355,0.04214356415871822,0.253,0.03111269837220811,0.2273,0.03394112549695428,0.1647,0.030971277015970775
UG-Q3,Underground,Zone_D_100m,Summer,0.07045,0.003889087296526015,0.09570000000000001,0.008626702730475876,0.1098,0.01583919189857867,0.13974999999999999,0.01774838020778234,0.1717,0.020364675298172562,0.18625,0.022556706319850853,0.1875,0.02644579361637687,0.2066,0.025455844122715704,0.24330000000000002,0.035638181771802,0.18605,0.03712310601229374
UG-Q3,Underground,Zone_D_100m,Winter,0.0686,0.012162236636408618,0.09455,0.014495689014324221,0.10985,0.013222896808188434,0.14,0.016263455967290598,0.1815,0.011596551211459367,0.19935,0.012515790027001886,0.21035,0.02001112190757929,0.21525,0.013930003589374983,0.21710000000000002,0.014283556979968286,0.16249999999999998,0.011879393923933996
UG-Q4,Underground,Zone_A_10m,Monsoon,0.04975,0.005727564927611039,0.07415,0.013930003589374988,0.0659,0.031819805153394644,0.129,0.030264170234784237,0.2365,0.016546298679765224,0.2752,0.026021529547664988,0.2842,0.01866761902332484,0.3081,0.021496046148071032,0.24760000000000001,0.06873077913133242,0.16325,0.07742819253992696
UG-Q4,Underground,Zone_A_10m,Summer,0.06475,0.014637110370561538,0.09035,0.0036062445840513878,0.093,0.0028284271247461927,0.1444,0.01131370849898477,0.20835,0.017182694782833095,0.23355,0.018596908345206192,0.2551,0.010040916292848968,0.2621,0.021637467504308335,0.2777,0.029839906166072315,0.19825,0.028496403281817868
UG-Q4,Underground,Zone_A_10m,Winter,0.04705,0.00954594154601839,0.0662,0.006222539674441612,0.06235,0.0013435028842544371,0.1059,0.005939696961966998,0.18835000000000002,0.007990306627408,0.20845000000000002,0.008697413408594548,0.23245,0.001626345596729047,0.23375,0.014495689014324227,0.1851,0.00622253967444161,0.11315,0.0017677669529663704
UG-Q4,Underground,Zone_B_50m,Monsoon,0.052599999999999994,0.010465180361560902,0.079,0.015697770542341352,0.0709,0.03818376618407357,0.12614999999999998,0.02934493141924172,0.2293,0.016263455967290577,0.26744999999999997,0.02877924599429251,0.2744,0.033799704140717,0.29825,0.01930401512639274,0.23975,0.06611448404094217,0.15839999999999999,0.07481189744953672
UG-Q4,Underground,Zone_B_50m,Summer,0.06565,0.006858935777509508,0.08875,0.002050609665440983,0.09345,0.0055861435713737235,0.1386,0.010040916292848968,0.20245,0.012798632739476514,0.2258,0.013293607486307082,0.23554999999999998,0.010960155108391486,0.2552,0.016687720036002548,0.2654,0.028567113959936524,0.19145,0.028496403281817868
UG-Q4,Underground,Zone_B_50m,Winter,0.04615,0.010535891039679559,0.0662,0.00848528137423857,0.06375,0.010960155108391484,0.10455,0.0074246212024587505,0.17909999999999998,0.007778174593052,0.20224999999999999,0.007566042558696059,0.21835,0.0038890872965259855,0.22494999999999998,0.009828784258492998,0.18035,0.00954594154601839,0.11069999999999999,0.005939696961966998
UG-Q4,Underground,Zone_C_50m,Monsoon,0.050949999999999995,0.008838834764831846,0.0752,0.015132085117392119,0.0683,0.032385490578343876,0.12075,0.02708218971944477,0.22405,0.01661700935788388,0.2596,0.02870853531617381,0.26034999999999997,0.024678026663410516,0.28975,0.02043538597629125,0.22955,0.05946768029778865,0.15165,0.06752869760331529
UG-Q4,Underground,Zone_C_50m,Summer,0.06335,0.008414570696119918,0.08565,0.003040559159102153,0.0877,0.004242640687119289,0.13155,0.007707463914933383,0.19815,0.007283199846221452,0.22165,0.007000357133746805,0.22725,0.007283199846221432,0.24919999999999998,0.010040916292848957,0.25005,0.024960869375885125,0.17925,0.02665792565073285
UG-Q4,Underground,Zone_C_50m,Winter,0.0468,0.011030865786510143,0.06525,0.010394469683442249,0.0639,0.014566399692442876,0.1031,0.009333809511662424,0.1768,0.003818376618407358,0.20055,0.004313351365237936,0.2049,0.0032526911934581135,0.2219,0.006646803743153531,0.17875,0.013505739520663062,0.1108,0.01088944443027283
